id,name,ratio
1.1,"Реконструкция объектов гражданского назначения.Сохранение назначения объекта с заменой перекрытий, систем инженерного назначения, без изменения фасадов",1.1
1.2,"Реконструкция объектов гражданского назначения.Сохранение назначения объекта с заменой перекрытий, систем инженерного назначения, с изменением фасадов, перебивкой оконных конструкций и фундаментов",1.2
1.3,"Реконструкция объектов гражданского назначения.Сохранение назначения объекта с заменой перекрытий, систем инженерного назначения, с изменением объема, усилением несущих конструкций и фундаментов",1.3
1.4,"Реконструкция объектов гражданского назначения.Сохранение назначения объекта с заменой перекрытий, систем инженерного назначения, с устройством внутреннего каркаса, частичной заменой внутренних ограждений и устройством дополнительных фундаментов",1.4
1.5,"Реконструкция объектов гражданского назначения.Сохранение назначения объекта с заменой перекрытий, систем инженерного назначения, с прокладкой под зданием коллекторов, путепроводов, тоннелей",1.4
2.1,"Реконструкция комплекса объектов гражданского назначения. При объединении отдельно стоящих зданий единым технологическим процессом без строительства дополнительных сооружений",1.1
2.2,"Реконструкция комплекса объектов гражданского назначения. При объединении отдельно стоящих зданий единым технологическим процессом со строительством дополнительных сооружений типа переходных галерей, транспортных связей.",1.15
2.3,"Реконструкция комплекса объектов гражданского назначения. При объединении отдельно стоящих зданий единым технологическим процессом со строительством объединяющего пространства по нижним этажам",1.2
2.4,"Реконструкция комплекса объектов гражданского назначения. При создании в одном здании двух и более объектов различного назначения",1.15
3.1.1,"Реконструкция застроенных территорий гражданского назначения. Увеличение плотности застройки путем сочетания реконструкции существующего фонда и нового строительства на освобождаемых участках методом волнового переселения,при 2-х этапах переселения",1.15
3.1.2,"Реконструкция застроенных территорий гражданского назначения. Увеличение плотности застройки путем сочетания реконструкции существующего фонда и нового строительства на освобождаемых участках методом волнового переселения,при 3-х и более этапах переселения",1.2
3.2,"Реконструкция застроенных территорий. Новое строительство на территориях, ранее используемых под объекты производственного, коммунального, складского назначения",1.15
4.1,"Реконструкция объектов производственного назначения (отдельно стоящие объекты) с частичной перепланировкой помещений в связи с совершенствованием технологического процесса в пределах существующего объема без изменения фасадов",1.1
4.2,"Реконструкция объектов производственного назначения (отдельно стоящие объекты). Частичная реконструкция помещений в пределах существующего объема с частичным изменением мест расположения оконных проемов, без замены перекрытий",1.2
4.3,"Реконструкция объектов производственного назначения (отдельно стоящие объекты). Частичная реконструкция помещений в пределах существующего объема с частичным изменением мест расположения оконных проемов с заменой перекрытий и усилением несущих конструкций и фундаментов",1.3
4.4,"Реконструкция объектов производственного назначения (отдельно стоящие объекты). Частичная реконструкция помещений в пределах существующего объема с частичным изменением мест расположения оконных проемов с изменением объема здания, устройством внутреннего каркаса",1.4
4.5,"Реконструкция объектов производственного назначения (отдельно стоящие объекты). Частичная реконструкция помещений в пределах существующего объема с частичным изменением мест расположения оконных проемов с созданием эксплуатируемого подземного устройства",1.5
5.1,"Реконструкция комплекса объектов производственного назначения с частичной перепланировкой помещений в связи с совершенствованием технологического процесса в пределах существующего объема без изменения фасадов и мест расположения систем инженерного обеспечения",1.2
5.2,"Реконструкция комплекса объектов производственного назначения с заменой перекрытий и усилением несущих конструкций и фундаментов",1.3
5.3,"Реконструкция комплекса объектов производственного назначения с заменой перекрытий и усилением несущих конструкций и фундаментов с изменением объема здания, устройством каркаса",1.4
5.4,"Реконструкция комплекса объектов производственного назначения с заменой перекрытий и усилением несущих конструкций и фундаментов с созданием эксплуатируемого подземного пространства",1.5
5.5,"Реконструкция комплекса объектов производственного назначения. При включении отдельно-стоящих объектов в единый технологический процесс без строительства объединяющих сооружений и сохранением профиля производства",1.1
5.6,"Реконструкция комплекса объектов производственного назначения. При включении отдельно-стоящих объектов в единый технологический процесс со строительством объединяющих сооружений типа инженерных, транспортных коммуникаций и переходных галерей",1.2
5.7,"Реконструкция комплекса объектов производственного назначения. При включении отдельно-стоящих объектов в единый технологический процесс с объединением отдельных зданий единым пространством в пределах нижних этажей",1.25
5.8,"Реконструкция комплекса объектов производственного назначения. Реконструкции производства с заменой оборудования в пределах существующих мощностей",1.3
5.9,"Реконструкция комплекса объектов производственного назначения. Реконструкции производства с заменой оборудования с увеличением производственных мощностей предприятия",1.5
6.1,"Реконструкция инженерных сооружений и коммуникаций. Реконструкция городских проездов, улиц, магистралей с уширением проезжей части и увеличением пропускной способности",1.3
6.2,"Реконструкция инженерных сооружений и коммуникаций. Реконструкция коллекторов с заменой перекрытий, стен, перегородок в условиях действующих коммуникаций и каналов тепловых сетей",1.4
6.3,"Реконструкция инженерных сооружений и коммуникаций. Реконструкция инженерных сетей с изменением их мощности, производительности, диаметра труб и т. д.",1.3
7.1,"Объекты гражданской обороны. Реконструкция, модернизация, усовершенствование или приспособление для нового назначения в мирное время убежища Гражданской обороны",1.2
7.2,"Объекты гражданской обороны. Реконструкция, модернизация, усовершенствование или приспособление для нового назначения в мирное время противорадиационного укрытия или сооружения типа Б",1.2
7.3,"Объекты гражданской обороны. Реконструкция, модернизация, усовершенствование городских запасных пунктов управления (далее - ГЗПУ) или приспособление убежища под ГЗПУ",1.5
7.4,"Объекты гражданской обороны. Реконструкция убежищ и других сооружений гражданской обороны при проектировании надстройки над указанным сооружением",1.6
